Player,G,GS,MPG,A/TO,EFF,+/-,+/- PG,Tot Fouls PG,Player_URL
William Lundin,3,0,1.5,0.0,0,-10,-3.3,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832714?
Emanuel Lundmark,22,2,12.7,100.0,0,-179,-8.1,3.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693054?
Emil Lundstedt,24,2,9.8,171.4,0,-136,-5.7,1.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692617?
Ibrahim Magassa,30,7,20.9,176.5,0,-60,-2.0,2.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2338726?
Adam Massarsch,28,2,10.3,200.0,0,-19,-0.7,1.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695748?
Brion Jamar McLaurin,34,24,28.5,128.6,0,129,3.8,1.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301945?
Abdou Medjedoub,34,26,24.2,87.8,0,34,1.0,3.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692924?
Atle Mellquist,24,0,5.0,233.3,0,-13,-0.5,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692408?
Lukas Millner,22,20,20.2,135.0,0,-7,-0.3,3.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311119?
Lukas Milner,12,12,25.0,75.0,0,6,0.5,3.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2378685?
Dante Myrthil,4,0,0.9,0.0,0,4,1.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695753?
Tom Nilsson,16,3,13.4,72.7,0,-122,-7.6,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1706276?
Lukas Novakovic,25,10,9.5,37.5,0,-10,-0.4,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833094?
Oskar Palmquist,42,38,23.6,83.9,0,192,4.6,1.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2308171?
Joan Pardina,3,2,15.3,100.0,0,-30,-10.0,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306221?
Jonathan Peleg,28,26,27.0,125.4,0,-171,-6.1,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1793424?
Andreas Person,42,12,20.5,118.5,0,119,2.8,2.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693822?
Erik Persson,6,1,17.6,122.2,0,3,0.5,2.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2107199?
Tyler Peterson,10,10,34.2,187.9,0,19,1.9,3.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310249?
Adam Rask,15,6,16.8,92.3,0,-126,-8.4,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707693?
Dartaye Ruffin,27,7,16.5,140.0,0,0,0.0,3.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693007?
Kevin Schutte,27,16,16.4,70.0,0,-34,-1.3,2.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310250?
Tim Schüberg,39,39,24.3,327.1,0,390,10.0,3.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692941?
Kevin Senghore Petersson,13,4,14.4,33.3,0,-47,-3.6,2.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692986?
Sergey Sepman,34,1,8.2,110.0,0,-4,-0.1,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1701770?
Grant Shephard,31,29,28.0,84.4,0,32,1.0,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306253?
Tobias Sjöberg,42,13,17.7,69.7,0,227,5.4,3.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692557?
Nicholas Spires,31,29,30.7,71.4,0,-57,-1.8,3.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1910643?
Derek St Hilaire,12,11,31.6,153.6,0,-63,-5.3,2.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2307383?
Lucas Strömbäck,7,0,1.0,0.0,0,-12,-1.7,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832492?
Arvid Strömsten,6,0,3.6,0.0,0,-15,-2.5,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834295?
Marcus Stålberg,25,0,3.7,128.6,0,-54,-2.2,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693864?
Olle Stümer,35,9,15.8,75.0,0,-56,-1.6,2.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2309787?
Peter Stümer,34,32,30.4,167.7,0,-36,-1.1,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305687?
Åke Swahn,31,5,11.7,70.6,0,-54,-1.7,2.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693036?
Joel Tewolde Berhane,7,0,7.4,100.0,0,42,6.0,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832151?
Hugo Tidare,34,9,13.5,54.2,0,-63,-1.9,1.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833053?
Jase Townsend,17,17,28.8,167.5,0,90,5.3,2.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311118?
Jan Tratnik,27,18,23.0,215.6,0,-149,-5.5,2.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692422?
Marcus Tyus,35,35,25.5,154.4,0,449,12.8,2.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1983084?
Ben Vander Plas,23,22,30.0,150.0,0,59,2.6,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306252?
Charlie Viklund,2,0,3.3,0.0,0,-5,-2.5,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707701?
Akili Vining,33,3,24.2,171.0,0,11,0.3,3.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306251?
Tony Vitali,29,24,25.7,164.3,0,-214,-7.4,2.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695000?
Hugo Waldeck,7,0,5.1,50.0,0,-15,-2.1,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1796176?
Elias Weibert,38,5,20.0,137.5,0,-34,-0.9,3.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693034?
Yoel Weldegergis,18,0,6.2,50.0,0,-67,-3.7,1.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1719408?
Oscar Wickström Stümer,36,12,13.9,100.0,0,7,0.2,1.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692423?
Lukas Widmark,18,0,5.3,50.0,0,-39,-2.2,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692622?
Jonathan Williams,20,20,34.5,183.6,0,-86,-4.3,1.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2385186?
Dwight Wilson III,39,39,34.5,113.9,0,33,0.9,2.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301944?
Larry Wise,28,23,26.3,184.4,0,-38,-1.4,3.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2309886?
Hameir Wright,39,4,23.1,48.1,0,220,5.6,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311120?
Alexander Yemane,28,12,19.4,69.0,0,-258,-9.2,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692960?
Alan Zekovic,8,0,5.6,200.0,0,-2,-0.3,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693878?
Anes Zekovic,30,30,29.7,188.4,0,-229,-7.6,3.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693025?
