Player,G,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FT%,FTAPG,Player_URL
Melker Lindblom,28,32.3,4,19,21.1,26,74,35.1,86.4,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693052?
Ludvig Lindby,21,36.2,8,18,44.4,13,40,32.5,57.1,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692721?
Anton Lindqvist,29,45.6,22,43,51.2,19,47,40.4,72.7,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693053?
Noah Lindén,8,12.5,0,2,0.0,1,6,16.7,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692542?
Daniel Love,39,46.5,67,132,50.8,33,83,39.8,80.6,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310233?
William Lundin,3,0.0,0,0,0.0,0,1,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832714?
Emanuel Lundmark,22,48.6,36,72,50.0,0,2,0.0,69.4,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693054?
Emil Lundstedt,24,25.6,3,6,50.0,8,37,21.6,25.0,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692617?
Ibrahim Magassa,30,48.7,39,64,60.9,38,94,40.4,75.0,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2338726?
Adam Massarsch,28,40.4,8,16,50.0,11,31,35.5,53.8,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695748?
Brion Jamar McLaurin,34,45.8,116,234,49.6,41,109,37.6,77.1,4.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301945?
Abdou Medjedoub,34,69.5,165,231,71.4,1,8,12.5,69.9,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692924?
Atle Mellquist,24,60.0,15,25,60.0,0,0,0.0,31.3,0.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692408?
Lukas Millner,22,61.1,76,123,61.8,1,3,33.3,54.0,2.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311119?
Lukas Milner,12,61.9,51,82,62.2,1,2,50.0,55.6,3.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2378685?
Dante Myrthil,4,100.0,1,1,100.0,0,0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695753?
Tom Nilsson,16,29.8,3,17,17.6,11,30,36.7,66.7,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1706276?
Lukas Novakovic,25,36.1,9,21,42.9,13,40,32.5,81.8,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833094?
Oskar Palmquist,42,42.5,78,146,53.4,52,160,32.5,77.9,2.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2308171?
Joan Pardina,3,14.3,1,3,33.3,0,4,0.0,50.0,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306221?
Jonathan Peleg,28,44.6,108,228,47.4,31,84,36.9,76.7,4.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1793424?
Andreas Person,42,33.3,47,99,47.5,41,165,24.8,78.6,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693822?
Erik Persson,6,32.6,3,13,23.1,11,30,36.7,87.5,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2107199?
Tyler Peterson,10,43.9,57,118,48.3,8,30,26.7,83.0,5.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310249?
Adam Rask,15,38.9,17,32,53.1,4,22,18.2,73.3,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707693?
Dartaye Ruffin,27,63.0,104,162,64.2,0,3,0.0,72.1,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693007?
Kevin Schutte,27,58.1,72,124,58.1,0,0,0.0,58.1,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310250?
Tim Schüberg,39,40.9,41,92,44.6,38,101,37.6,81.7,1.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692941?
Kevin Senghore Petersson,13,42.1,7,17,41.2,1,2,50.0,46.7,1.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692986?
Sergey Sepman,34,36.6,15,23,65.2,11,48,22.9,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1701770?
Grant Shephard,31,61.7,169,271,62.4,0,3,0.0,69.6,3.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306253?
Tobias Sjöberg,42,70.5,93,131,71.0,0,1,0.0,67.0,2.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692557?
Nicholas Spires,31,44.4,113,225,50.2,31,99,31.3,74.7,2.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1910643?
Derek St Hilaire,12,43.6,61,126,48.4,21,62,33.9,83.3,6.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2307383?
Lucas Strömbäck,7,33.3,1,2,50.0,0,1,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832492?
Arvid Strömsten,6,14.3,1,3,33.3,0,4,0.0,0.0,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834295?
Marcus Stålberg,25,38.9,5,10,50.0,2,8,25.0,62.5,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693864?
Olle Stümer,35,42.5,56,110,50.9,15,57,26.3,63.6,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2309787?
Peter Stümer,34,45.3,102,169,60.4,63,195,32.3,73.6,3.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305687?
Åke Swahn,31,70.0,59,80,73.8,4,10,40.0,65.4,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693036?
Joel Tewolde Berhane,7,18.2,0,2,0.0,4,20,20.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832151?
Hugo Tidare,34,40.5,21,32,65.6,28,89,31.5,76.5,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833053?
Jase Townsend,17,52.8,95,167,56.9,47,102,46.1,92.3,4.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311118?
Jan Tratnik,27,45.4,40,80,50.0,24,61,39.3,72.3,2.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692422?
Marcus Tyus,35,46.3,102,192,53.1,98,240,40.8,88.5,3.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1983084?
Ben Vander Plas,23,51.6,81,137,59.1,60,136,44.1,79.0,4.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306252?
Charlie Viklund,2,0.0,0,2,0.0,0,0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707701?
Akili Vining,33,47.1,117,230,50.9,69,165,41.8,83.8,2.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306251?
Tony Vitali,29,54.0,125,215,58.1,11,37,29.7,79.7,2.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695000?
Hugo Waldeck,7,28.6,0,0,0.0,2,7,28.6,33.3,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1796176?
Elias Weibert,38,44.8,57,115,49.6,25,68,36.8,64.3,1.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693034?
Yoel Weldegergis,18,61.5,8,13,61.5,0,0,0.0,100.0,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1719408?
Oscar Wickström Stümer,36,43.2,45,90,50.0,9,35,25.7,78.8,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692423?
Lukas Widmark,18,26.3,4,11,36.4,1,8,12.5,50.0,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692622?
Jonathan Williams,20,42.6,94,183,51.4,33,115,28.7,79.7,3.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2385186?
Dwight Wilson III,39,58.2,275,470,58.5,1,4,25.0,69.3,4.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301944?
Larry Wise,28,42.3,84,180,46.7,34,99,34.3,83.1,2.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2309886?
Hameir Wright,39,43.0,125,247,50.6,58,179,32.4,77.3,4.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311120?
Alexander Yemane,28,39.5,21,50,42.0,28,74,37.8,80.9,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692960?
Alan Zekovic,8,22.2,2,4,50.0,2,14,14.3,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693878?
Anes Zekovic,30,41.5,57,111,51.4,61,173,35.3,85.8,4.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693025?
